city;Latitude;Longitude
Gendringen;51.8733;6.3764
Leek;53.1616;6.3847
Leens;53.3609;6.3878
Verwolde;52.2006;6.3919
Oldehove;53.3025;6.3928
Zuidhorn;53.2468;6.4077
Lochem;52.1606;6.4158
Ommen;52.5167;6.4167
Holten;52.2814;6.4186
Zuidwolde;52.6746;6.4247
Roden;53.14;6.4262
Ezinge;53.3092;6.4431
Smilde;52.9486;6.4483
Hellendoorn;52.3885;6.4497
Ruurlo;52.0833;6.45
Pieterburen;53.4;6.4531
Norg;53.0661;6.4594
Varsseveld;51.9433;6.4594
Eenrum;53.3625;6.4606
Nijverdal;52.3631;6.4617
Hoogeveen;52.7167;6.4667
Dinxperlo;51.8667;6.4833
Den Ham;52.465;6.4942
Markelo;52.2342;6.4953
Peize;53.1478;6.4961
Hoogkerk;53.2167;6.5
Beilen;52.8567;6.5111
Winsum;53.3312;6.5157
Rijssen;52.3;6.5167
Borculo;52.1167;6.5167
Geesteren;52.1389;6.5264
Assen;52.9967;6.5625
Beltrum;52.0689;6.5658
Groningen;53.2167;6.5667
Lichtenvoorde;51.9833;6.5667
Vries;53.0733;6.5769
Aalten;51.925;6.5808
Goor;52.2333;6.5861
Wierden;52.3592;6.5931
Tynaarlo;53.0833;6.6
Bedum;53.3003;6.6025
Haren;53.1721;6.6093
Usquert;53.4028;6.6128
Neede;52.1333;6.6167
Groenlo;52.05;6.6167
Bredevoort;51.95;6.6167
Hardenberg;52.5758;6.6194
Vriezenveen;52.4117;6.6256
Kantens;53.3656;6.6339
Rolde;52.9869;6.6461
Eibergen;52.1;6.65
Middelstum;53.35;6.65
Almelo;52.3567;6.6625
Uithuizen;53.4067;6.6722
Gramsbergen;52.6103;6.6728
Ten Boer;53.2833;6.6833
Stedum;53.3225;6.6958
Delden;52.2625;6.7111
Winterswijk;51.9667;6.7167
Uithuizermeeden;53.4144;6.7264
Zweeloo;52.7936;6.7303
Haaksbergen;52.1567;6.7389
Coevorden;52.661;6.7405
Loppersum;53.3317;6.7469
Borne;52.3;6.75
Dalen;52.7;6.75
Hoogezand;53.1572;6.7533
Gieten;53.0053;6.7631
Tubbergen;52.4;6.7667
Sappemeer;53.1633;6.7767
Borger;52.9236;6.7922
Gasselte;52.9719;6.7922
Hengelo;52.2658;6.7931
Slochteren;53.2208;6.8055
Odoorn;52.8508;6.8481
Weerselo;52.3519;6.8572
Appingedam;53.3217;6.8583
Bierum;53.3814;6.8594
Exloo;52.8802;6.8611
Muntendam;53.1336;6.8686
Veendam;53.1061;6.8719
Oosterbroek;53.1299;6.8738
Schoonebeek;52.6617;6.8831
Enschede;52.2183;6.8958
Ootmarsum;52.4072;6.8994
Emmen;52.7833;6.9
Lonneker;52.2506;6.9119
Delfzijl;53.33;6.9181
Meeden;53.1389;6.9275
Oldenzaal;52.3125;6.9292
Stadskanaal;52.9895;6.9504
Nieuwe Pekela;53.0786;6.9642
Scheemda;53.1667;6.9667
Nieuwolda;53.2447;6.9758
Losser;52.2617;7.0044
Denekamp;52.3794;7.0089
Midwolda;53.1928;7.0161
Oude Pekela;53.1;7.0167
Winschoten;53.15;7.0333
Termunten;53.2961;7.0436
Wedde;53.0667;7.0833
Sellingen;52.9464;7.1514
Bellingwolde;53.1203;7.1719
